code|await_sync_at|barcode|cbenef|cest|cfop|cofins_aliquota|description|divergent_columns|estado_destino|estado_origem|icms_aliquota|icms_aliquota_reduzida|icms_cst|naturezareceita|naturezareceita_id|ncm|pis_aliquota|piscofins_cst|protege|sequencial|status_item|sync_at|sync_validate_at
500406|2024-10-28 18:04:58.498525+00:00|7898195130014|||5102|0.0|REFRESCO CLIK LARANJA 100GR|pis_aliquota, cofins_aliquota|||19|19|0|0||21069010|0.0|1|0|0|2|2024-10-28 19:20:05.131248+00:00|
500408|2024-10-28 18:04:58.498525+00:00|7898909066639||1704100|5102|0.0|MOLHO TOMATE GOIALLI TRAD SACHE 340G|pis_aliquota, cofins_aliquota|||19|19|0|0||21032010|0.0|1|0|0|2|2024-10-28 19:20:05.131248+00:00|
500409|2024-10-28 18:04:58.498525+00:00|7898040081966||1707900|5102|0.0|ITA STEAK CONG IND 100GR|pis_aliquota, cofins_aliquota|||19|19|0|0||16023290|0.0|1|0|0|2|2024-10-28 19:20:05.131248+00:00|
500410|2024-10-28 18:04:58.498525+00:00|7891080400087||1702600|5102|0.0|MARGARINA DELICIA C/SAL 500G|icms_aliquota, cbenef, naturezareceita|||7|7|20|0|24.0|15171000|0.0|6|0|0|2|2024-10-28 19:20:05.131248+00:00|
500412|2024-10-28 18:04:58.498525+00:00|7622210762894|||5102|0.0|REFRESCO TANG LARANJA DOCINHA 25G|pis_aliquota, cofins_aliquota|||19|19|0|0||21069010|0.0|1|0|0|2|2024-10-28 19:20:05.131248+00:00|
500413|2024-10-28 18:04:58.498525+00:00|7892300026629|||5102|0.0|FUBA MIMOSO FINO SINHA 500G|icms_aliquota, cbenef, naturezareceita|||7|7|20|0|5.0|11022000|0.0|6|0|0|2|2024-10-28 19:20:05.131248+00:00|
500414|2024-10-28 18:04:58.498525+00:00|7894900550030||1711100|5102|0.0|DV FRUT UVA PET 1L|naturezareceita|||19|19|0|0|30.0|22021000|0.0|6|0|0|2|2024-10-28 19:20:05.131248+00:00|
500415|2024-10-28 18:04:58.498525+00:00|7896324400830||0103900|5102|0.0|FILTRO DE POLIPROPILENO 103 CAJUBA|pis_aliquota, cofins_aliquota|||19|19|0|0||84219999|0.0|1|0|0|2|2024-10-28 19:20:05.131248+00:00|
500416|2024-10-28 18:04:58.498525+00:00|7897664171701||2003400|5102|0.0|SABONETE ALBANY FEMINO AZUL 85GR|icms_aliquota, cbenef, naturezareceita|||7|7|20|0|25.0|34011190|0.0|6|0|0|2|2024-10-28 19:20:05.131248+00:00|
500417|2024-10-28 18:04:58.498525+00:00|7896914000716||2004700|5102|0.0|PAPEL TOALHA SOCIAL CLEAN 2UN|pis_aliquota, cofins_aliquota|||19|19|0|0||48189090|0.0|1|0|0|2|2024-10-28 19:20:05.131248+00:00|
500418|2024-10-28 18:04:58.498525+00:00|7898542022900||1707906|5102|0.0|HAMBURGUER BOV FRIBOI 56GR GRANEL|pis_aliquota, cofins_aliquota|||19|19|0|0||16025000|0.0|1|0|0|2|2024-10-28 19:20:05.131248+00:00|
500419|2024-10-28 18:04:58.498525+00:00|7896083800025||1100100|5102|0.0|AGUA SANITARIA QBOA 2L|icms_aliquota, cbenef, pis_aliquota, cofins_aliquota|||7|7|20|0||28289011|0.0|1|0|0|2|2024-10-28 19:20:05.131248+00:00|
500421|2024-10-28 18:04:58.498525+00:00|||1706000|5102|0.0|PAO DE LEITE KG|pis_aliquota, cofins_aliquota|||19|19|0|0||19059010|0.0|1|0|0|2|2024-10-28 19:20:05.131248+00:00|
500422|2024-10-28 18:04:58.498525+00:00|7896245709418||1703000|5102|0.0|SALG MILHO ANELITOS CEBOLA 41G|pis_aliquota, cofins_aliquota|||19|19|0|0||19041000|0.0|1|0|0|2|2024-10-28 19:20:05.131248+00:00|
